[2026-03-14T02:22:27.328Z] GET https://equitymd.com/ → pending (?ms, ?B)
[2026-03-14T02:22:29.862Z] GET https://www.googletagmanager.com/gtag/js?id=G-4DYEHD25TP → pending (?ms, ?B)
[2026-03-14T02:22:29.862Z] GET https://equitymd.com/assets/main-D2XAUBcR.js → pending (?ms, ?B)
[2026-03-14T02:22:29.862Z] GET https://equitymd.com/assets/react-vendor-DMawOa_r.js → pending (?ms, ?B)
[2026-03-14T02:22:29.862Z] GET https://equitymd.com/assets/ui-vendor-Dkd8xWAy.js → pending (?ms, ?B)
[2026-03-14T02:22:29.863Z] GET https://equitymd.com/assets/supabase-vendor-R7Wa2o-2.js → pending (?ms, ?B)
[2026-03-14T02:22:29.863Z] GET https://equitymd.com/assets/utils-vendor-BVzVp0zY.js → pending (?ms, ?B)
[2026-03-14T02:22:29.863Z] GET https://equitymd.com/assets/date-vendor-BSq5QNBg.js → pending (?ms, ?B)
[2026-03-14T02:22:29.863Z] GET https://equitymd.com/assets/main-C_jniLub.css → pending (?ms, ?B)
[2026-03-14T02:22:30.489Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800&display=swap → 200 (313ms, 12535B)
[2026-03-14T02:22:31.632Z] GET https://equitymd.com/assets/Home-b6Jgcy4Q.js → 200 (255ms, 24835B)
[2026-03-14T02:22:31.632Z] GET https://equitymd.com/assets/Cards-BJp3mOfD.js → 200 (360ms, 8286B)
[2026-03-14T02:22:31.632Z] GET https://equitymd.com/assets/VerificationBadge-OGG8Kq29.js → 200 (239ms, 2289B)
[2026-03-14T02:22:31.634Z] GET https://www.googletagmanager.com/gtag/js?id=G-4DYEHD25TP → pending (?ms, ?B)
[2026-03-14T02:22:31.634Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800&display=swap → 200 (188ms, 12535B)
[2026-03-14T02:22:31.634Z] GET https://images.unsplash.com/photo-1560472354-b33ff0c44a43?auto=format&fit=crop&q=80&w=1200 → pending (?ms, ?B)
[2026-03-14T02:22:31.638Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/rest/v1/site_settings?select=require_auth → pending (?ms, ?B)
[2026-03-14T02:22:31.655Z] GET https://equitymd.com/assets/Browse-B1DAQlCj.js → 200 (360ms, 17095B)
[2026-03-14T02:22:31.655Z] GET https://equitymd.com/assets/Directory-B1l_zYaB.js → 200 (237ms, 25009B)
[2026-03-14T02:22:31.655Z] GET https://equitymd.com/assets/syndicator-logos-D2WAEr2C.js → 200 (360ms, 4781B)
[2026-03-14T02:22:32.003Z] GET https://auth.equitymd.com/storage/v1/object/public/images/shutterstock_2568276509.jpg → pending (?ms, ?B)
[2026-03-14T02:22:32.003Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/storage/v1/object/public/logos/logo-black.png → pending (?ms, ?B)
[2026-03-14T02:22:32.003Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/storage/v1/object/public/logos/logo-white.png → pending (?ms, ?B)
[2026-03-14T02:22:32.014Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/storage/v1/object/public/logos//logo-white.png → pending (?ms, ?B)
[2026-03-14T02:22:32.016Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/rest/v1/deals?select=*&status=eq.active&order=highlighted.desc%2Ccreated_at.desc → pending (?ms, ?B)
[2026-03-14T02:22:32.016Z] GET https://frtxsynlvwhpnzzgfgbt.supabase.co/rest/v1/syndicator_profiles?select=total_deal_volume&total_deal_volume=not.is.null → pending (?ms, ?B)
